date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:52:41	242/242	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/navigation-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/navigation-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:43	270/270	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/phone-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/phone-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:46	123/123	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/plus-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/plus-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:48	292/292	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/power-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/power-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:48	243/243	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/recycle-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/recycle-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:52	295/295	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/refresh-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/refresh-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:56	324/324	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/search-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/search-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:59	174/174	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/shop-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/shop-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:52:59	231/231	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/star-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/star-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:53:00	159/159	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/tag-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/tag-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:53:01	245/245	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/user-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/user-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:53:01	171/171	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/video-black.png	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/icons-png/video-black.png	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
21:53:02	6242/6242	---M--	200	added ('OK')	image/gif	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/ajax-loader.gif	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/images/ajax-loader.gif	(from https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css)
